Startdato;Slutdato;Land;Sted = By / Landområde;Institution;Kategori;Event / Begivenhed;Event-beskrivelse;Personer;Kilde
17-10-1949;;Danmark;København;Engelsklærerforeningen;F;Foredrag;Sprogteoretisk litteraturvidenskab;;K134 - 263ff
03-11-1949;;Danmark;København;Lingvistkredsen;F;Oplæg;Sentence Analysis and Syntax;;
01-03-1950;31-03-1950;Sverige;Lund (er kun i Lund onsdag-fredag, K50-421;Lunds Universitet;F;Forelæsninger;;Kontaktperson: Alf Lombard;K50 - 390-435 (læg 3/50), uv.fri, tilladelse 409
08-03-1950;30-03-1950;Sverige;Lund;Lunds Universitet;U;Kursus i albansk;onsdage 16-18, torsdage 13-15;;K50 - 410
22-03-1950;;Sverige ;Lund;Kungliga humanistiska vetenskapssamfundet i Lund;F;Foredrag;De strukturelle synspunkter i lingvistikken;;K137 - 1ff
28-04-1950;;Danmark;København;Videnskabernes Selskab;F;Foredrag;Semantikens grundproblem;;K134 - 410
10-05-1950;;Danmark;København;Lingvistkredsen;F;Oplæg;The Problem of Case (devant la Commission glossématique);;
12-05-1950;22-05-1950;Skotland;Edinburgh;University of Edinburgh;F;Forelæsninger (3 lectures) (som i London 1946, K51 - 463);Structural Analysis of Language;Uldall med flere ;K51 - 448
1950-juli;;Sverige - Finland;;;R;;;;
18-07-1950;20-07-1950;Sverige;Stockholm;;Del af R;;;;K71 - 84
20-07-1950;21-07-1950;Sverige - Finland;Stockholm - Helsinki;;Del af R;Natbåd;;;
21-07-1950;22-07-1950;Finland;Helsinki;;Del af R;;;;
22-07-1950;31-07-1950;Finland;Koli Turiststation, Vuonislahti;;Del af R;;;;
